ISO,Biome,y2012p,share,
TZA,4,0.27,0.00000047131983016274,
TZA,7,0.33,0.0348205297552023,
TZA,9,0.4,0.0314450730823441,
TZA,10,0.16,0.00442454860378204,
TZA,14,0.38,0.014399363246891,
USA,1,0.16,0.000676524167767426,
USA,2,0.15,0.0022073911565075,
USA,3,0.19,0.0159431790857861,
USA,4,0.05,0.169746276939707,
USA,5,0.14,0.37253121477228,
USA,6,0.39,0.0332535955347618,
USA,7,0.06,0.00367307760577038,
USA,8,0.02,0.238737763236323,
USA,9,0.36,0.0183518044147389,
USA,11,0.57,0.108258427195083,
USA,12,0.12,0.0340621690713095,
USA,13,0.1,0.0546786180051903,
USA,99,0.66,NA,
VIR,1,0.14,0.00000565698348085971,
VIR,13,0.14,0.0000090105388626492,
VIR,14,0.33,0.0000166061691643509,
URY,1,0.67,0.0000000168150292621483,
URY,7,0,0.00847157849108977,
URY,8,0.02,0.0000239724256565122,
URY,9,0,0.00000329756153158725,
UZB,8,0.08,0.0107860443944973,
UZB,10,0.55,0.000149526842748814,
UZB,13,0,0.0111818523564608,
VUT,1,0.04,0.000630835185530462,
VEN,1,0.72,0.0240816283618491,
VEN,2,0.35,0.0301942277952649,
VEN,7,0.25,0.0113988842911479,
VEN,9,0.39,0.00548719704427718,
VEN,10,0.78,0.000631799768261749,
VEN,13,0.5,0.00334894722226095,
VEN,14,0.62,0.0350347829135166,
VNM,1,0.07,0.0111841371016937,
VNM,2,0.06,0.0304172510634922,
VNM,14,0.01,0.0476288851115658,
WLF,1,0,0.00000775886213862825,
YEM,13,0.01,0.0149301546288396,
ZMB,2,0.2,0.0116464490659976,
ZMB,7,0.36,0.0304702978352762,
ZMB,9,0.44,0.074731589422472,
ZMB,10,0.23,0.000270430651709413,
ZWE,7,0.28,0.0185103124690566,
ZWE,10,0.14,0.0014001479927738,
